lead_time,cycle,neurons,dropout,activation,num_layers,val_mae12,n_reps
24.0,1.0,128.0,0.0,selu,1.0,0.7291946808497111,3
24.0,1.0,32.0,0.0,selu,2.0,0.7333548069000244,3
24.0,1.0,32.0,0.3,leaky_relu,1.0,0.7485795617103577,3
24.0,1.0,16.0,0.0,selu,2.0,0.760953942934672,3
24.0,1.0,32.0,0.0,leaky_relu,1.0,0.7615110079447428,3
24.0,1.0,16.0,0.0,selu,3.0,0.7745275894800822,3
24.0,1.0,16.0,0.0,relu,1.0,0.7784913182258606,3
24.0,1.0,128.0,0.0,relu,2.0,0.7902159889539083,3
24.0,1.0,256.0,0.0,relu,1.0,0.7939903736114502,3
24.0,1.0,16.0,0.0,relu,2.0,0.794829527537028,3
24.0,1.0,128.0,0.0,relu,1.0,0.8007985154787699,3
24.0,1.0,64.0,0.0,relu,1.0,0.8058576583862305,3
24.0,1.0,32.0,0.0,relu,1.0,0.8060224652290344,3
24.0,1.0,32.0,0.0,leaky_relu,3.0,0.8112505873044332,3
24.0,1.0,32.0,0.0,selu,3.0,0.812932034333547,3
24.0,1.0,256.0,0.1,relu,1.0,0.8138072689374288,3
24.0,1.0,64.0,0.0,selu,2.0,0.8152948021888733,3
24.0,1.0,64.0,0.0,relu,2.0,0.8159841497739156,3
24.0,1.0,64.0,0.3,leaky_relu,1.0,0.8162975112597147,3
24.0,2.0,256.0,0.0,leaky_relu,2.0,0.757311205069224,3
24.0,2.0,128.0,0.0,selu,1.0,0.7639186183611552,3
24.0,2.0,256.0,0.0,selu,2.0,0.7742107311884562,3
24.0,2.0,32.0,0.0,selu,2.0,0.8040602207183838,3
24.0,2.0,128.0,0.0,selu,3.0,0.8059096535046896,3
24.0,2.0,32.0,0.0,selu,3.0,0.8105873862902323,3
24.0,2.0,128.0,0.0,leaky_relu,3.0,0.8117214838663737,3
24.0,2.0,256.0,0.0,selu,1.0,0.8134686748186747,3
24.0,2.0,128.0,0.0,selu,2.0,0.8136192162831625,3
24.0,2.0,256.0,0.0,selu,3.0,0.822726845741272,3
24.0,2.0,256.0,0.0,relu,2.0,0.8394976059595743,3
24.0,2.0,64.0,0.0,selu,2.0,0.8403827548027039,3
24.0,2.0,64.0,0.0,selu,3.0,0.8449850678443909,3
24.0,2.0,64.0,0.0,leaky_relu,3.0,0.852386991182963,3
24.0,2.0,256.0,0.0,leaky_relu,3.0,0.8901716470718384,3
24.0,2.0,16.0,0.3,leaky_relu,1.0,0.8981531461079916,3
24.0,2.0,64.0,0.0,relu,3.0,0.898834745089213,3
24.0,2.0,16.0,0.1,leaky_relu,1.0,0.9027809500694275,3
24.0,2.0,128.0,0.0,relu,3.0,0.9117761452992758,3
24.0,2.0,128.0,0.05,leaky_relu,3.0,1.0415254632631938,3
24.0,3.0,256.0,0.1,leaky_relu,1.0,0.961729884147644,3
24.0,3.0,256.0,0.1,relu,1.0,0.9710481564203897,3
24.0,3.0,256.0,0.05,relu,1.0,0.9716958006223043,3
24.0,3.0,64.0,0.0,leaky_relu,1.0,0.9788787563641866,3
24.0,3.0,128.0,0.0,relu,1.0,0.9820877512296041,3
24.0,3.0,128.0,0.0,leaky_relu,1.0,0.9858479499816895,3
24.0,3.0,128.0,0.0,relu,2.0,0.9880157311757406,3
24.0,3.0,256.0,0.0,relu,1.0,0.9898497660954794,3
24.0,3.0,128.0,0.1,relu,1.0,0.9919257760047913,3
24.0,3.0,64.0,0.1,relu,1.0,0.9983004728953043,3
24.0,3.0,128.0,0.05,relu,1.0,1.000099201997121,3
24.0,3.0,256.0,0.0,relu,2.0,1.0209134419759114,3
24.0,3.0,256.0,0.05,leaky_relu,1.0,1.0211503505706787,3
24.0,3.0,128.0,0.0,leaky_relu,3.0,1.021607240041097,3
