dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
06-24-2011 2200,27.8,31.1
06-24-2011 2300,27.7,30.9
06-25-2011 0000,27.6,31.3
06-25-2011 0100,27.2,31.3
06-25-2011 0200,27.4,30.8
06-25-2011 0300,27.5,31
06-25-2011 0400,27.8,30.9
06-25-2011 0500,27.7,31.3
06-25-2011 0600,27.4,29.8
06-25-2011 0700,27.3,29.5
06-25-2011 0800,27.3,29.7
06-25-2011 0900,27.1,29.8
06-25-2011 1000,27,29.4
06-25-2011 1100,27.1,29.1
06-25-2011 1200,27.3,29
06-25-2011 1300,27.7,29.3
06-25-2011 1400,26.4,29.1
06-25-2011 1500,25.8,29
06-25-2011 1600,27.8,29.4
06-25-2011 1700,28.1,29.7
06-25-2011 1800,28.4,30.3
06-25-2011 1900,28.7,30.7
06-25-2011 2000,28.6,31.1
06-25-2011 2100,28.7,31.5
06-25-2011 2200,28.6,31.7
06-25-2011 2300,28.3,31.8
06-26-2011 0000,28,31.6
06-26-2011 0100,27.9,30.9
06-26-2011 0200,28.2,30.5
06-26-2011 0300,28.1,30.3
06-26-2011 0400,28,30.1
06-26-2011 0500,27.7,30
06-26-2011 0600,27.5,30
06-26-2011 0700,27.2,29.9
06-26-2011 0800,27.2,29.5
06-26-2011 0900,27,29.3
06-26-2011 1000,26.7,29.2
06-26-2011 1100,26.6,29
06-26-2011 1200,26.7,29.1
06-26-2011 1300,27.6,28.9
06-26-2011 1400,28.1,29.1
06-26-2011 1500,28.6,29.3
06-26-2011 1600,29.1,29.6
06-26-2011 1700,30,30.2
06-26-2011 1800,30,30.8
06-26-2011 1900,29.7,31.3
06-26-2011 2000,29.8,31.8
06-26-2011 2100,29.3,32.2
06-26-2011 2200,29.6,32.4
06-26-2011 2300,29.5,32.3
06-27-2011 0000,29.2,32.1
06-27-2011 0100,28.9,31.8
06-27-2011 0200,28.4,31.4
06-27-2011 0300,28.4,31
06-27-2011 0400,28.3,30.7
06-27-2011 0500,28.2,30.4
06-27-2011 0600,28,30.2
06-27-2011 0700,27.9,29.9
06-27-2011 0800,27.9,29.5
06-27-2011 0900,27.8,29.3
06-27-2011 1000,27.7,29.2
06-27-2011 1100,27.7,29.1
06-27-2011 1200,27.7,29
06-27-2011 1300,28.4,29.1
06-27-2011 1400,28.7,29.4
06-27-2011 1500,29,29.9
06-27-2011 1600,29.6,30.3
06-27-2011 1700,29.7,30.7
06-27-2011 1800,29.2,31.3
06-27-2011 1900,29.2,31.7
06-27-2011 2000,28.8,32.4
06-27-2011 2100,28.9,32.2
06-27-2011 2200,28.9,31.9
06-27-2011 2300,29.1,32.9
06-28-2011 0000,29.1,32
06-28-2011 0100,28.8,31.5
06-28-2011 0200,28.6,31.1
06-28-2011 0300,28.6,31
06-28-2011 0400,28.6,30.8
06-28-2011 0500,28.5,30.2
06-28-2011 0600,28.4,30.3
06-28-2011 0700,28.2,30.1
06-28-2011 0800,28,29.9
06-28-2011 0900,28,29.8
06-28-2011 1000,27.8,29.5
06-28-2011 1100,27.8,29.4
06-28-2011 1200,27.7,29.4
06-28-2011 1300,28.3,29.6
06-28-2011 1400,28.6,29.5
06-28-2011 1500,28.5,29.4
