dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
12-15-2013 0100,11.2,12.4
12-15-2013 0200,10.4,12.7
12-15-2013 0300,9.6,12
12-15-2013 0400,8.9,11.9
12-15-2013 0500,8.5,11.6
12-15-2013 0600,8,11.4
12-15-2013 0700,7.4,10.8
12-15-2013 0800,7.3,10.6
12-15-2013 0900,6.8,10.4
12-15-2013 1000,6.4,10.2
12-15-2013 1100,6.5,9.9
12-15-2013 1200,6,9.7
12-15-2013 1300,5.5,9.4
12-15-2013 1400,5.7,9.2
12-15-2013 1500,5.8,9.2
12-15-2013 1600,6.1,9.4
12-15-2013 1700,6.4,9.5
12-15-2013 1800,7,10
12-15-2013 1900,8.4,10.4
12-15-2013 2000,9.5,10.8
12-15-2013 2100,10.9,11.1
12-15-2013 2200,11.1,11
12-15-2013 2300,11.9,11
12-16-2013 0000,10.5,10.9
12-16-2013 0100,10.3,10.9
12-16-2013 0200,10.1,10.9
12-16-2013 0300,9.8,10.9
12-16-2013 0400,10.4,10.7
12-16-2013 0500,9.4,10.7
12-16-2013 0600,9,10.6
12-16-2013 0700,9.2,10.4
12-16-2013 0800,8.6,10.3
12-16-2013 0900,8.2,10.2
12-16-2013 1000,8.4,10.2
12-16-2013 1100,5.9,10
12-16-2013 1200,6,9.8
12-16-2013 1300,6.6,9.6
12-16-2013 1400,7.6,9.4
12-16-2013 1500,8.3,9.5
12-16-2013 1600,9.5,10
12-16-2013 1700,9.7,10.4
12-16-2013 1800,11.2,10.9
12-16-2013 1900,13.7,11.5
12-16-2013 2000,14.5,12
12-16-2013 2100,14.2,12.1
12-16-2013 2200,13.3,12.2
12-16-2013 2300,13.2,12.3
12-17-2013 0000,12.1,12.2
12-17-2013 0100,11.7,12.1
12-17-2013 0200,11.6,12
12-17-2013 0300,11.9,11.8
12-17-2013 0400,12.5,11.7
12-17-2013 0500,13,11.6
12-17-2013 0600,11.9,11.3
12-17-2013 0700,11.3,11.2
12-17-2013 0800,11.2,11
12-17-2013 0900,10.9,10.8
12-17-2013 1000,10.2,10.8
12-17-2013 1100,10.4,10.8
12-17-2013 1200,10.1,10.6
12-17-2013 1300,9.6,10.6
12-17-2013 1400,10.4,10.5
12-17-2013 1500,10.2,10.9
12-17-2013 1600,11,11
12-17-2013 1700,12.7,11.5
12-17-2013 1800,14.7,12.1
12-17-2013 1900,15.8,12.2
12-17-2013 2000,15.9,12.8
12-17-2013 2100,15.7,13.3
12-17-2013 2200,15.6,14
12-17-2013 2300,15.5,14
12-18-2013 0000,14.9,13.3
12-18-2013 0100,14.6,13.3
12-18-2013 0200,14.1,13.7
12-18-2013 0300,14.1,13.1
12-18-2013 0400,13.9,13.2
12-18-2013 0500,13.9,13
12-18-2013 0600,14.9,13
12-18-2013 0700,14.4,12.9
12-18-2013 0800,14.2,12.8
12-18-2013 0900,13.9,12.7
12-18-2013 1000,12.9,12.7
12-18-2013 1100,13.1,12.7
12-18-2013 1200,12.2,12.7
12-18-2013 1300,12,12.6
12-18-2013 1400,12.8,12.7
12-18-2013 1500,13.7,12.8
12-18-2013 1600,16.3,13.4
12-18-2013 1700,17.2,13.3
12-18-2013 1800,17.8,13.9
12-18-2013 1900,17.8,14
12-18-2013 2000,17.7,14.9
12-18-2013 2100,18,15.1
12-18-2013 2200,17.8,15.3
12-18-2013 2300,17.7,15.3
12-19-2013 0000,17,14.7
12-19-2013 0100,17.5,15.2
12-19-2013 0200,17.7,15.2
12-19-2013 0300,16.9,14.6
12-19-2013 0400,17,14.5
12-19-2013 0500,16.5,14.4
12-19-2013 0600,16.8,14.4
12-19-2013 0700,17,14.3
12-19-2013 0800,17,14.2
12-19-2013 0900,17,14.2
12-19-2013 1000,17.4,14.2
12-19-2013 1100,17.3,14.2
12-19-2013 1200,17.8,14.2
12-19-2013 1300,18.2,14.3
12-19-2013 1400,18.1,14.3
12-19-2013 1500,19,14.3
12-19-2013 1600,19.1,14.5
12-19-2013 1700,18.3,14.9
12-19-2013 1800,19.5,15.5
12-19-2013 1900,20.1,15.9
12-19-2013 2000,19.8,16.6
12-19-2013 2100,20,16.9
12-19-2013 2200,19.9,17
12-19-2013 2300,19.1,16.8
12-20-2013 0000,18.2,16.6
12-20-2013 0100,18.4,16.6
12-20-2013 0200,18.2,16.5
12-20-2013 0300,17.9,16.3
12-20-2013 0400,17.6,16.3
12-20-2013 0500,17.5,16.2
12-20-2013 0600,17.4,16.2
12-20-2013 0700,17.1,16.2
12-20-2013 0800,16.7,16.1
12-20-2013 0900,17.3,16.2
12-20-2013 1000,17.3,16.3
12-20-2013 1100,16.6,16.3
12-20-2013 1200,16.8,16
12-20-2013 1300,17.8,16.4
12-20-2013 1400,17.9,16.2
12-20-2013 1500,18.5,16.6
12-20-2013 1600,19.3,16.8
12-20-2013 1700,20.1,17.1
12-20-2013 1800,21.4,17.7
12-20-2013 1900,21.1,18.1
12-20-2013 2000,21,18.5
12-20-2013 2100,19.7,18.6
12-20-2013 2200,19.5,18.7
12-20-2013 2300,19.5,18.6
12-21-2013 0000,19.5,18.5
12-21-2013 0100,18.9,18.4
12-21-2013 0200,18.8,18.3
12-21-2013 0300,18.9,18.2
12-21-2013 0400,18.7,18.2
12-21-2013 0500,19.4,18.1
12-21-2013 0600,19,18.1
12-21-2013 0700,19,18.2
12-21-2013 0800,18.7,18.2
12-21-2013 0900,18.9,18.2
12-21-2013 1000,18.2,18.4
12-21-2013 1100,18.3,18.4
12-21-2013 1200,18.6,18.3
12-21-2013 1300,18.6,18.3
12-21-2013 1400,19.3,18
12-21-2013 1500,19.1,18
12-21-2013 1600,19.8,18.2
12-21-2013 1700,20.2,18.3
12-21-2013 1800,19.8,18.7
12-21-2013 1900,21.5,18.8
12-21-2013 2000,23.7,18.7
12-21-2013 2100,21,18.9
12-21-2013 2200,20.1,19.2
12-21-2013 2300,20,19
12-22-2013 0000,18.1,18.7
12-22-2013 0100,17.3,18.6
12-22-2013 0200,17,18.3
12-22-2013 0300,16.8,18.5
12-22-2013 0400,16.8,18.5
12-22-2013 0500,16.6,18.3
12-22-2013 0600,16.4,18.1
12-22-2013 0700,16.2,18.1
12-22-2013 0800,16.2,18.2
12-22-2013 0900,16.4,17.9
12-22-2013 1000,16.1,17.8
12-22-2013 1100,16.3,17.7
12-22-2013 1200,16.2,17.7
12-22-2013 1300,16.3,17.6
12-22-2013 1400,15.9,17.7
12-22-2013 1500,15.9,17.7
