dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
10-28-2024 0000,25.4,28.2
10-28-2024 0100,25.2,28.1
10-28-2024 0200,25.0,27.8
10-28-2024 0300,25.0,27.7
10-28-2024 0400,25.2,27.5
10-28-2024 0500,25.4,27.3
10-28-2024 0600,25.4,27.0
10-28-2024 0700,25.6,26.8
10-28-2024 0800,25.7,26.7
10-28-2024 0900,25.5,26.7
10-28-2024 1000,25.3,26.6
10-28-2024 1100,25.3,26.5
10-28-2024 1200,25.6,26.5
10-28-2024 1300,25.8,26.3
10-28-2024 1400,26.7,26.2
10-28-2024 1500,27.1,26.3
10-28-2024 1600,27.2,26.6
10-28-2024 1700,27.3,27.0
10-28-2024 1800,27.7,27.2
10-28-2024 1900,27.7,27.7
10-28-2024 2000,27.6,27.9
10-28-2024 2100,27.8,28.1
10-28-2024 2200,27.4,28.2
10-28-2024 2300,27.4,28.2
10-29-2024 0000,26.7,27.9
10-29-2024 0100,26.9,27.8
10-29-2024 0200,26.9,27.8
10-29-2024 0300,26.9,27.7
10-29-2024 0400,26.9,27.6
10-29-2024 0500,26.8,27.4
10-29-2024 0600,26.7,27.1
10-29-2024 0700,26.8,27.0
10-29-2024 0800,26.6,26.9
10-29-2024 0900,26.6,26.6
10-29-2024 1000,26.6,26.5
10-29-2024 1100,26.6,26.4
10-29-2024 1200,26.4,26.3
10-29-2024 1300,26.5,26.2
10-29-2024 1400,27.0,26.1
10-29-2024 1500,27.4,26.1
10-29-2024 1600,27.6,26.3
10-29-2024 1700,27.8,26.5
10-29-2024 1800,28.0,26.9
10-29-2024 1900,27.9,27.3
10-29-2024 2000,28.1,27.5
10-29-2024 2100,28.0,27.9
10-29-2024 2200,27.7,28.0
10-29-2024 2300,27.4,27.9
10-30-2024 0000,27.1,27.8
10-30-2024 0100,26.9,27.5
10-30-2024 0200,26.9,27.2
10-30-2024 0300,26.8,27.0
10-30-2024 0400,26.8,26.9
10-30-2024 0500,26.7,26.6
10-30-2024 0600,26.7,26.6
10-30-2024 0700,26.7,26.6
10-30-2024 0800,26.6,26.5
10-30-2024 0900,26.6,26.4
10-30-2024 1000,26.4,26.2
10-30-2024 1100,26.4,26.2
10-30-2024 1200,26.4,26.2
10-30-2024 1300,26.4,26.0
10-30-2024 1400,26.8,26.1
10-30-2024 1500,27.2,26.3
10-30-2024 1600,27.5,26.4
10-30-2024 1700,27.8,26.7
10-30-2024 1800,27.9,27.0
10-30-2024 1900,28.0,27.2
10-30-2024 2000,28.1,27.7
10-30-2024 2100,27.9,28.0
10-30-2024 2200,27.7,28.2
10-30-2024 2300,27.4,28.2
10-31-2024 0000,27.0,28.0
10-31-2024 0100,26.9,27.8
10-31-2024 0200,26.8,27.6
10-31-2024 0300,26.8,27.3
10-31-2024 0400,26.7,27.2
10-31-2024 0500,26.5,27.2
10-31-2024 0600,26.5,27.3
10-31-2024 0700,26.4,27.3
10-31-2024 0800,26.2,27.2
10-31-2024 0900,26.3,27.1
10-31-2024 1000,26.3,27.1
10-31-2024 1100,26.4,27.1
10-31-2024 1200,26.3,27.0
10-31-2024 1300,26.4,26.9
10-31-2024 1400,26.8,26.9
10-31-2024 1500,27.0,26.9
10-31-2024 1600,27.7,27.1
10-31-2024 1700,28.2,27.4
10-31-2024 1800,28.3,27.8
10-31-2024 1900,28.4,28.2
10-31-2024 2000,28.4,28.5
10-31-2024 2100,27.5,28.8
10-31-2024 2200,27.5,28.8
10-31-2024 2300,27.2,28.7
11-01-2024 0000,27.1,28.5
11-01-2024 0100,27.0,28.5
11-01-2024 0200,26.8,28.6
11-01-2024 0300,26.8,28.5
11-01-2024 0400,26.7,28.3
11-01-2024 0500,26.7,28.2
11-01-2024 0600,26.5,28.3
11-01-2024 0700,26.5,28.4
11-01-2024 0800,26.4,28.1
11-01-2024 0900,26.2,28.0
11-01-2024 1000,26.2,27.8
11-01-2024 1100,26.4,27.8
11-01-2024 1200,25.1,27.7
11-01-2024 1300,22.9,27.5
11-01-2024 1400,24.7,27.4
11-01-2024 1500,26.6,27.4
11-01-2024 1600,26.5,27.5
11-01-2024 1700,25.7,27.5
11-01-2024 1800,26.1,27.4
11-01-2024 1900,27.3,27.7
11-01-2024 2000,25.9,27.9
11-01-2024 2100,26.0,28.1
